date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:24:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20May%202024%2009:54:06%20GMT	https://wordpress.revanoid.com/index.php	C:/Users/HP/Downloads/test/wordpress.revanoid.com/index.0.delayed	(from )
15:24:02	221636/221636	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20May%202024%2009:54:06%20GMT	https://wordpress.revanoid.com/	C:/Users/HP/Downloads/test/wordpress.revanoid.com/index.html	(from )
15:24:02	116/116	---M-Z	200	added ('OK')	text/plain	date:Mon,%2020%20May%202024%2009:54:07%20GMT	https://wordpress.revanoid.com/robots.txt		(from )
15:24:02	43034/43034	---M-Z	200	added ('OK')	text/css	etag:%22a81a-66433981-5625b051ec1ebc07;gz%22	https://wordpress.revanoid.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.6.14	C:/Users/HP/Downloads/test/wordpress.revanoid.com/wp-content/themes/astra/assets/css/minified/main.min33c5.css	(from https://wordpress.revanoid.com/)
15:24:02	11256/11256	---M-Z	200	added ('OK')	text/css	etag:%222bf8-6642f64d-f9b11a168ab933f9;gz%22	https://wordpress.revanoid.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/Users/HP/Downloads/test/wordpress.revanoid.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://wordpress.revanoid.com/)
15:24:02	4186/4186	---M-Z	200	added ('OK')	text/css	etag:%22105a-6642f64d-533193b0cb0967e3;gz%22	https://wordpress.revanoid.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.5.3	C:/Users/HP/Downloads/test/wordpress.revanoid.com/wp-includes/js/mediaelement/wp-mediaelement.minef10.css	(from https://wordpress.revanoid.com/)
15:24:02	2101/2101	---M-Z	200	added ('OK')	application/rss+xml	etag:%222a91f6f9824aa40688e989af13d29a9d%22	https://wordpress.revanoid.com/feed/	C:/Users/HP/Downloads/test/wordpress.revanoid.com/feed/index.html	(from https://wordpress.revanoid.com/)
15:24:02	207156/207156	---M-Z	200	added ('OK')	text/css	etag:%2232934-664af913-270ccc7c56215092;gz%22	https://wordpress.revanoid.com/wp-content/plugins/addons-for-visual-composer/assets/css/animate.css?ver=3.8.3	C:/Users/HP/Downloads/test/wordpress.revanoid.com/wp-content/plugins/addons-for-visual-composer/assets/css/animatecd70.css	(from https://wordpress.revanoid.com/)
15:24:03	27181/27181	---M-Z	200	added ('OK')	text/css	etag:%226a2d-664af913-bedd2289ee6881c;gz%22	https://wordpress.revanoid.com/wp-content/plugins/addons-for-visual-composer/assets/css/lvca-frontend.css?ver=3.8.3	C:/Users/HP/Downloads/test/wordpress.revanoid.com/wp-content/plugins/addons-for-visual-composer/assets/css/lvca-frontendcd70.css	(from https://wordpress.revanoid.com/)
15:24:03	7920/7920	---M-Z	200	added ('OK')	text/css	etag:%221ef0-664af913-72f3d756070cdbaf;gz%22	https://wordpress.revanoid.com/wp-content/plugins/addons-for-visual-composer/assets/css/icomoon.css?ver=3.8.3	C:/Users/HP/Downloads/test/wordpress.revanoid.com/wp-content/plugins/addons-for-visual-composer/assets/css/icomooncd70.css	(from https://wordpress.revanoid.com/)
